resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,workout_type,average_watts,device_watts,kilojoules,average_temp
2,"{'id': 3405284, 'resource_state': 1}",Afternoon Walk,4833.3,4372,4961,38.0,Walk,Walk,4390552519,2020-09-04T20:16:04Z,2020-09-04T16:16:04Z,(GMT-05:00) America/Indiana/Indianapolis,-14400.0,,,,0,0,0,1,0,"{'id': 'a4390552519', 'summary_polyline': 'o_gmF`h_nOEXGTQXIZg@vCITW`@UHc@?SC}@BgA^IAECc@Bk@J[WSIEHUCC?@HHGFJAFCBm@VM@EBO?YGcAk@i@?c@QMK?KNw@DG?UGOc@_@YKa@Ua@k@Pu@BYG]Si@MQK?KB_@G]QY]KSYOKK]_Ac@_@[G@?AGB@c@@c@MM@s@`@K@SCOIg@Yq@@SJYv@[d@ER?^AHSd@EPC@ADSnBIVGf@EjAOzABV?f@EDAJKN]Ls@Cs@JSPSd@@PBFCAOJCFEFCVMVCLILWZUh@Kd@Qj@e@j@OXCNSVGl@IPY^a@fAq@pAI|@J~EJvA?r@Sf@MLK|@Sb@Qn@e@Vq@RGFEPE?q@Z}@bAIT?LMt@EJUPOf@IHEb@IXBxAKf@Cb@?h@CL?j@C^KVy@x@UdAMVIDCLWFUBu@ZQL_@f@YpAWf@m@Z[TKN]NOJGHGDMVGlBETANB^Lf@NTvAvAH`@@ZHT?X@XZlAA~AFp@An@IpA@rAFt@Ml@EXKFCZIJULMN_@RURu@\\ILW~@Uf@SVEPU^cA`Ce@n@IPIFUf@FJLYVYZ}@OU@CCYQI?EDG]a@GEC?QIEK@COS@KGGASECIIUAI]?IABQAGCEEHBE@@BDGEBB@IKGUECDQAIMK@QQGKIGS?SKK_@?YOOCSFAD@PD@ETICOSE?k@JMJc@BISDOA?HA|@c@DEDSa@qAg@a@KME@?E@?A??@ACABD@E@HEAA?@?CC@DH?CA?D?GE@A?F?ECBB?ABDBE@DE?B?EHC?AIBQC', 'resource_state': 2}",False,False,False,False,everyone,False,,"[39.034961, -86.345129]","[39.053625, -86.364343]",1.106,2.0,50.4,True,99.3,125.0,False,True,301.6,190.8,4692737110.0,4692737110,garmin_push_5525595907,False,0,0,False,11.0,,,,,
2,"{'id': 3405284, 'resource_state': 1}",Lunch Walk,5129.9,4036,4072,125.0,Walk,Walk,4390552541,2020-09-06T15:41:07Z,2020-09-06T11:41:07Z,(GMT-05:00) America/Indiana/Indianapolis,-14400.0,,,,0,0,0,1,0,"{'id': 'a4390552541', 'summary_polyline': '_|imFdnbnO@B?GEJEAEC@KCGGIUu@@i@C[DQEm@@mAHYNORMX_@LWJEh@CRKNSHSPYNw@Ra@`@e@r@a@^CRML]Nk@Vc@LOJCFKJYJy@G{@D_@BQTs@Ns@?GGM@MXu@He@G_APs@PYFATYPOLWd@[ZGl@ULEDBPGPMTe@@GBo@Jm@A[IW?KHWHETs@Ra@@OOq@Li@ESEcAK]AI@g@PQ|@_BPaAd@s@ASR@v@GVHTIFICYUUW{@@UTk@FGx@FTCDDDCFILAJI@MLU@KKo@BEAQQm@Ic@?OMG?DP]NO`@B\\Mj@@LD^c@D]MiA?QDUDIDWBy@AO@mAHg@Pg@AEDUDg@l@uANMb@w@\\SZ?b@LR@x@QBGTCV@ZPLCj@BPDHl@Vd@ZTJB`@p@LH`@HV@NHHFLf@RJFHLZA\\OX@b@BHPHPDHH@HJJPLJTNFNA@CC\\SXG\\@RXb@h@FNFF?h@Vn@RJFPAPIPE?KpAOj@@HBLA@EnAU^WV?ZHNE`@GI?DNRIj@u@HG@c@RqAB]JYF[C_@BWT_@@OHOb@MTSh@OVe@@QAGDYXk@Bc@HYTYJu@Le@Dq@L]XWLEF]HKt@[PKL[VUAGJ_@ACPGB@ADJFCISGSFGAFGOS@OFNNLBJAIFAFHHb@Fx@XZNH', 'resource_state': 2}",False,False,False,False,everyone,False,,"[39.049761, -86.361466]","[39.032584, -86.342185]",1.271,3.6,50.8,True,110.7,166.0,False,True,260.6,165.4,4692737116.0,4692737116,garmin_push_5525600041,False,0,0,False,14.0,,,,,
2,"{'id': 3405284, 'resource_state': 1}",Lunch Run,5973.9,1772,1772,8.0,Run,Run,4390552383,2020-09-12T15:29:20Z,2020-09-12T11:29:20Z,(GMT-05:00) America/New_York,-14400.0,,,,11,0,0,1,0,"{'id': 'a4390552383', 'summary_polyline': 'ug`nEbckbO\\Tr@Vd@Vt@p@fAfBdApAd@|@bBbCP`@h@z@X^\\\\pAlBnAjAV^h@f@j@`@VXh@v@Vh@jA~A\\z@`A|ClAdCh@xB`@lAX`@^z@j@`ALLRXxApAbAt@d@JdAZdAh@HBpAl@d@Jf@BD?VMH_@DkAJu@JWV_@jBqAJQXW|@u@DK@KEKSOi@CkAYq@[uA[e@MIG_@_@_CyC_AaA]e@i@_Ay@kAs@q@m@c@]Ok@c@qAmA_@i@k@cAOk@c@cAkAyAsBsEm@iA_B{BiAqAcCiBo@k@k@w@]WsB{@}@UYCSGqAP_@ZW`@s@JKFGXJn@~AtAXXfAdB^^j@pAt@hAbBvB`@n@f@l@Xb@Xj@pB`ClBdB`@l@^r@\\j@Z`@n@l@p@bB`AbB`@h@t@bB^`Ct@tA\\\\ZAZS^QDK|@eA`A{@b@Qh@G\\OV_@@o@Mi@wAsCc@o@w@_AcAo@u@k@}B{BQa@q@cCeAqAk@i@Sc@W_ASi@e@q@[s@c@w@[_@KI_AuAe@]aAaAqB{Ae@{@c@U_@I_By@_Ba@g@?o@He@d@aBv@', 'resource_state': 2}",False,False,False,False,everyone,False,,"[33.921395, -84.439696]","[33.921147, -84.439514]",3.371,4.6,83.1,True,161.6,197.0,False,True,253.6,246.0,4692737077.0,4692737077,garmin_push_5526451413,False,3,0,False,56.0,,,,,
2,"{'id': 3405284, 'resource_state': 1}",Lunch Walk,7746.1,6101,6170,49.0,Walk,Walk,4390552590,2020-09-13T16:21:12Z,2020-09-13T12:21:12Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,"{'id': 'a4390552590', 'summary_polyline': 'odgnEh{zaOCMEa@Oq@O[G]Ky@Og@A_@u@gDIa@Q_@i@iBIw@Mm@MkAGYe@}AGk@Sc@[c@Qc@U[M_@_@q@MQWQ[Oy@aBy@oA[m@_@UG[Ya@Me@Hm@?]Qm@B}EVkA@c@Dg@JW@Y\\i@HYBUCYG_@?W\\m@`AiAn@{@b@}@^g@\\m@^iA`@q@FWZ]fAy@l@gBz@_AXSb@MZWPYZ_@XOr@k@`Ao@TWHOHEV]JIVa@PKh@k@`@UT]Z]^YZa@XSx@aA^[v@}@v@m@n@cA|@o@b@Ib@ONCd@Bd@CNER?`@M`@Cd@?r@GPFFIFAlASXCX@|@K\\A~@Wf@_@RG|@Ih@a@T?^Kf@Q^W`@Q^Mb@GrA_ATW~@s@RI`@[NILBCEHAXOv@{@v@a@XYT_@\\[|@mAJOVs@j@{@ZSZYPYTS\\g@TQT[VKh@a@f@QXQTGf@Wv@y@v@i@XMRUZSXWLSd@[FKRSPMbA_A^Ub@e@`@[RUDIn@o@t@iA\\YJQTUX_@d@_@JONKBIn@k@r@gAt@w@t@{@V_@hAsAd@{@RQ\\_@f@oAv@aAFSFCXYHUNK\\s@NS\\{@TUPYL]r@}@^gAFI\\UXo@B_@R]VYJQ\\}@^i@NIV}@Tk@B_@Zq@FW^w@d@oANYL]R[Zw@Xe@Zy@p@gALa@h@aAn@eBR_@X]l@kAd@e@R]z@iAd@SRUjBuAV]XKB?BO`@c@G[BOFIhAaAvBwC?EHM?MJKXOd@eAj@q@h@}@Pc@J]j@q@DMT_@J]|@qA@IT]Rc@LQROT[TS`@i@\\]\\g@tBiBZ_@h@]TULOL]HKl@e@HKj@]f@i@`@Y\\g@NODOJEt@i@RG\\EhA[L?j@Yt@MbA[PCNILSLEREPAPBtB_@DIACFBn@U`@LN?t@Op@]VIPMpAe@z@c@^U^i@NEJ@h@XT`@@Lh@h@Zn@\\f@JVPRPl@?F^KVUTKTU', 'resource_state': 2}",False,False,False,False,everyone,False,,"[33.956722, -84.356529]","[33.915978, -84.305012]",1.27,2.0,52.4,True,83.6,102.0,False,True,355.8,301.8,4692737064.0,4692737064,garmin_push_5542818416,False,0,0,False,10.0,,,,,
2,"{'id': 3405284, 'resource_state': 1}",Lunch Run,5111.8,1466,1471,5.0,Run,Run,4390552440,2020-09-14T15:36:00Z,2020-09-14T11:36:00Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,"{'id': 'a4390552440', 'summary_polyline': '{cpnEza_bOw@gAs@g@i@i@qBuAmB}A_Aq@_B_B_BmAs@[}@Kc@UEWCa@HaALu@^g@\\SfAKnBKlA?nC_@b@KPK`AgA^UTUdB_C`@c@fAsAlAoALQ^gAH]Lw@`@wEA_AMyA?QKaAEeAEo@SaBa@oBKeAg@aDY}EUaHU}BSkAUcCWmBWwCESUiCU}@S{BOaAc@cBFNNf@N|@JhBLv@Ph@Dv@N`ATdBL`BJr@Rn@ZfBZ~BVfCNfC?x@J|ABtANdBB|@RxAz@hFFl@L|@XzCDpAEb@CfAWbCQ|BKj@EJu@lAa@~@]\\OJqAvA_A~@m@|@{@t@a@l@g@Vg@NqCNq@Hq@Bi@Fw@C{@@k@RY\\Oj@Iz@A~@JZZDh@?T@fAl@hBpAd@d@bAt@v@r@jB~BbAfAf@f@r@f@b@d@ZX', 'resource_state': 2}",False,False,False,False,everyone,False,,"[34.002707, -84.378054]","[34.002791, -84.378034]",3.487,4.1,83.3,True,154.6,189.0,False,True,270.4,265.0,4692737100.0,4692737100,garmin_push_5542819296,False,0,0,False,39.0,,,,,
2,"{'id': 3405284, 'resource_state': 1}",Evening Run,5440.8,1497,1542,4.0,Run,Run,4390552442,2020-09-15T22:19:31Z,2020-09-15T18:19:31Z,(GMT-05:00) America/New_York,-14400.0,,,,12,0,0,1,0,"{'id': 'a4390552442', 'summary_polyline': 'uh`nEdekbOxAl@b@Ld@Vv@l@nApA\\`@^p@p@bAZl@Zd@^f@dBtBXj@Zf@jAnAlA`Ab@XZZRTz@xAl@v@n@p@Lj@Hn@r@zB|@dBn@fBT\\XdAHR`AzAx@tAK?KLi@d@lASn@^`Ax@f@\\hBt@ZR`Br@z@^\\FR@XONc@BcBNk@Nc@PQ`BiA|@_AZOx@Sj@A^JZNxAb@j@Br@Ab@Mf@Et@QnA]~@SrA}@pAmAh@s@Xo@`@q@^WHIb@u@`CyB~AgAdAk@~@a@v@e@fA_@^Uf@]ZG^Bd@OT_@I]KIK?{@j@k@j@YPa@\\e@NqAn@oAhAw@NYReA`@]Vc@Ta@f@OLiBnC_AdBaAhA_CtAe@Nw@Lg@BeC\\kBMiBYqAM}Ae@eEq@s@S[[wBgD_C_DiCiCe@Ya@Qo@g@c@c@w@eAg@eAe@w@Uu@_@k@m@u@m@}@_A{C[k@KOw@w@e@m@]k@W[uBeB{C{Co@Wy@e@uBk@e@Cw@F[Va@Ts@LSJ', 'resource_state': 2}",False,False,False,False,everyone,False,,"[33.921554, -84.44003]","[33.9211, -84.439451]",3.634,5.1,84.7,True,158.6,195.0,False,True,253.4,247.4,4692737068.0,4692737068,garmin_push_5559947820,False,5,0,False,45.0,,,,,
2,"{'id': 3405284, 'resource_state': 1}",Evening Walk,632.8,497,497,0.0,Walk,Walk,4390552340,2020-09-15T22:48:14Z,2020-09-15T18:48:14Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,"{'id': 'a4390552340', 'summary_polyline': 'qe`nErakbO?Cb@OZq@POF@b@Gt@?XJ|Bl@XDT?\\FNH`@FMBMEMC_@S_@Ks@KmBe@]?_@BSAMBYTWd@_@DWN_@n@a@@YCEGDC?B', 'resource_state': 2}",False,False,False,False,everyone,False,,"[33.921056, -84.439456]","[33.921569, -84.439632]",1.273,1.9,52.7,True,118.6,153.0,False,True,233.6,231.4,4692737074.0,4692737074,garmin_push_5559948174,False,0,0,False,2.0,,,,,
2,"{'id': 3405284, 'resource_state': 1}",Morning Run,8058.5,2337,2337,17.0,Run,Run,4390552525,2020-09-19T14:29:36Z,2020-09-19T10:29:36Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,"{'id': 'a4390552525', 'summary_polyline': 'mvpmEvkzbOO\\QVi@rAGVKh@In@UdAE\\Mr@a@rAOp@KlAKp@[dBC|@GhA[jC@f@Fn@?vACTHxAC`AGJOt@AVGj@BrBIjBDvBCRMt@UjAWbAu@vAq@jBYd@y@~@]j@U~@m@fBy@~Ao@|@c@z@c@xAYf@[rBKdA@p@E^AjB@nAPdC@d@H~@Hh@D~@?j@BRA`A@v@Ct@Bl@?l@FfCRfCJh@FnAIp@TlBBx@Cj@O`@Kp@?NHj@DJDd@CXNfBHv@TdA@hBShD@x@QzBMn@OTg@fBWb@MXIl@Y|@cAvCiAbBe@j@i@v@uA~CsAbDWf@KHk@x@cAlB{ApES|@S\\g@h@c@`@Al@H|AM\\aA~As@xAi@pBCj@Ol@a@pAy@jB@Kv@oBTe@Ha@p@_BViAl@mAd@s@Ee@DgACw@DSb@Wf@o@Ru@TgBJ[Tg@^g@tAiCZg@pAoC\\m@Z}@Rc@^m@Xw@hAeB~@mBb@k@`@eAlAwBx@cCP}@Pi@Lg@?s@F}@EcB@MCg@Wo@Og@D}@Hm@Lg@Bm@@m@Es@DkAJkA@e@M{@Qk@g@aCF{@C{@@q@ViA@OAu@DWAq@@}@FaACaAIk@UgAGu@Ba@CeAOkBBm@AiAQsB?}@OgBA}@B_AFw@@aAFk@To@l@cAX]Zm@d@m@\\[v@aAXe@hAyBf@gBd@{@Rs@Hk@Lg@B_@Pm@Vc@^uA\\iCBkBEo@EWBk@JaADkBLcA@i@M}@CaAVgEDgAh@qCPk@Ny@R_B\\yDd@aBToAPi@`@oB', 'resource_state': 2}",False,False,False,False,everyone,False,,"[33.841839, -84.51788]","[33.842037, -84.518233]",3.448,5.9,84.8,True,174.1,188.0,False,True,275.0,257.8,4692737085.0,4692737085,garmin_push_5604056222,False,0,0,False,132.0,,,,,
2,"{'id': 3405284, 'resource_state': 1}",Morning Walk,12412.9,12540,15832,468.0,Walk,Walk,4390552588,2020-09-20T13:41:02Z,2020-09-20T09:41:02Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,"{'id': 'a4390552588', 'summary_polyline': 'is_sEfdh_OBLMpBa@zAJ?@KHCCGMHDBBGh@Z`@GJHNb@HDPEVFJGT@XV\\KhAJ@@EHD?FNh@Ft@d@Vf@F^PVt@jCJF@jAYNe@h@YLUHOIS@e@_AC{@Yo@i@Ba@Vg@YSCWLi@KOJOb@OFFC?FGADByAOuBXSOMAWPIXDC]HKEKHFKE@HPH?E?D@IJCIDFE?FAADBC{C@MP?LM?a@Tg@j@c@lANH?GC?@HDC@J?MK?AQOEAXSd@o@b@Wp@F^YhAYn@q@ZjAb@WVk@Bo@^S?GHFZ\\RlALt@CLLsAv@GZY\\aD~@g@F_@XUZb@Nh@ElAj@j@Bd@`@\\B|@fALT@\\zA|A`@n@@L`@l@Hj@Rh@@r@N~AVx@a@l@UTm@?c@PQGk@y@EWFm@AWQI_@a@INKAB@Ej@c@`AKnAHhBVf@xAv@dEn@b@\\h@x@vAn@~BrAXP^f@t@`@@YE@KM]w@d@}CAk@GMF[EONWHm@@{@TmAj@QRg@De@ImBa@k@K]Lm@G{AD]IABKGEHYHIK@HQOAKeASc@QcAIKBOAJ?I\\QASFKCYJa@LU\\OHMA_@JS\\[x@GUGKF~@UX?\\LnAIbAW^]PAr@d@^CPMT@?HFC?GC?PJVER@HJt@B\\Ef@WzAVTMfAOZF?DJA@FDMT?f@YHSDm@Ig@FWKA[{@Ik@MSAYOa@E}@Lk@T_@FqAAe@BOEOHUAm@\\_@CKJM@Yh@_@GENGCLF?|@u@\\@bAiATs@@a@MO?q@[Yo@iBQEIW?SGQ[SEK?e@EG{@e@g@BCFS@QOWLUEgALYQCQBBKHCRMAAGO?GU[GPO_@EW[Qe@K{ASQWm@CYH]u@No@K[Se@Ke@c@k@CQS?WFAEATCk@BIQFWCi@Pa@P[d@i@?a@Wm@o@w@Aa@FI_@c@Ow@K?F?DM]S}@Fu@\\_@h@[JcAE[KIMJKS]JOLw@Kc@H_@I_@Au@ECRQa@GCYSc@q@e@OY?YGIyBqAWWBq@Qc@KI@EGEEHDAFc@EQ][MDD@?EKIPGBKAJYDgA@@OLIdAGPOAI}@Mu@B]Oy@EKMu@K{@q@Og@_A_AQGAMKM]KQk@_@O_@_@', 'resource_state': 2}",False,False,False,False,everyone,False,,"[34.737333, -83.932991]","[34.741463, -83.922737]",0.99,3.8,50.4,True,99.6,139.0,False,True,1527.2,884.6,4692737096.0,4692737096,garmin_push_5713838331,False,0,0,False,31.0,,,,,
2,"{'id': 3405284, 'resource_state': 1}",Lunch Run,6448.2,1886,1889,8.0,Run,Run,4390552472,2020-09-22T16:11:41Z,2020-09-22T12:11:41Z,(GMT-05:00) America/New_York,-14400.0,,,,5,0,0,1,0,"{'id': 'a4390552472', 'summary_polyline': 'kg`nE~bkbOLR^Zt@\\^VZZ|@bBTVP\\Rf@tApCX`@^\\R\\Z`An@|@\\v@\\f@HFd@j@d@`@n@^jAj@n@j@x@~A\\Zd@l@ZXXlARn@Jp@T`@l@zAPv@d@nAR`@Tj@`@j@fAnBZb@D@pBxB^XVJXHf@TbA\\z@h@dA^bAN\\H\\QF_@@uADq@H]Ve@RUb@Q^U`Au@b@g@\\SLYGK]Ue@Cc@Wm@SaBWsBmA[[QKs@_A][eAk@c@i@u@wAq@u@iBuAYYg@Qc@MsAuBSi@e@_AWs@}AkBo@wAcAyAUw@wAqB}A_BkAi@_@Ke@W}@oAeA}@w@a@i@_@i@Mm@u@YOq@C_@Fe@?i@Ky@Is@Y]Sa@Qq@?]Fm@Ie@?g@GIMa@_@]_@[c@{@mBYc@a@gAS_@Qg@Uc@_@_Bi@{CQcBEkAI_@O}AK_@Ek@Ia@O]Is@Ma@aAcCWi@Sq@Se@s@gAu@yAc@i@q@kBs@{@]]a@q@YWWe@GUi@uAMq@Sw@Wo@g@cAeAeAQc@A_@BCF?~@dB\\RX`@R`@Xv@TVlAnCl@`A\\ZPt@X^Rj@r@hA\\r@d@\\Z\\R\\V^Rd@h@dBHJDp@Rb@Zb@RpCNl@Hp@Bx@`@nCBb@J^Pb@Ff@Dv@RxAJFPh@bBhDd@tA\\f@^TX^v@fAzApAl@P|@p@b@TTB|AEj@H', 'resource_state': 2}",False,False,False,False,everyone,False,,"[33.921348, -84.439673]","[33.920983, -84.439007]",3.419,4.8,83.0,True,168.0,183.0,False,True,239.2,230.2,4692737078.0,4692737078,garmin_push_5713845638,False,2,0,False,90.0,,,,,
